Component,ComponentCode,ComponentType,Quantity,DateReceived,Notes,LeadTimeDays,MaxCapacity,SafetyFactor,ReorderPoint
3.5 Gal Bucket (Natural),TBDBUCKNAT,bucket,3035.0,,Line 4 – Choice Laundry Detergent Gain Type 3.5 Gal,14.0,0.0,1.1,42209.99999999999
4 Seasons Antifreeze Back Label,LABEL-6155-B,label,108543.0,1-1-2026,Line 1 – 4 Seasons Antifreeze,14.0,0.0,1.0,163537.92
4 Seasons Antifreeze Front Label,LABEL-6155-F,label,108543.0,1-1-2026,Line 1 – 4 Seasons Antifreeze,14.0,0.0,1.0,163537.92
4 Seasons Oil 10W30 Back Label,LABEL-61107-B,label,83864.32,1-1-2026,Line 2 – 4 Seasons Oil 10W30,14.0,0.0,1.0,127196.16
4 Seasons Oil 10W30 Front Label,LABEL-61107-F,label,83864.32,1-1-2026,Line 2 – 4 Seasons Oil 10W30,14.0,0.0,1.0,127196.16
4 Seasons Oil 10W40 Back Label,LABEL-61108-B,label,76592.96,1-1-2026,Line 2 – 4 Seasons Oil 10W40,14.0,0.0,1.0,127196.16
4 Seasons Oil 10W40 Front Label,LABEL-61108-F,label,76592.96,1-1-2026,Line 2 – 4 Seasons Oil 10W40,14.0,0.0,1.0,127196.16
4 Seasons Oil 5W20 Back Label,LABEL-61109-B,label,60457.28,1-1-2026,Line 2 – 4 Seasons Oil 5W20,14.0,0.0,1.0,127196.16
4 Seasons Oil 5W20 Front Label,LABEL-61109-F,label,60457.28,1-1-2026,Line 2 – 4 Seasons Oil 5W20,14.0,0.0,1.0,127196.16
4 Seasons Oil 5W30 Back Label,LABEL-61110-B,label,146592.96,04-21-2026,Line 2 – 4 Seasons Oil 5W30,14.0,0.0,1.0,127196.16
4 Seasons Oil 5W30 Front Label,LABEL-61110-F,label,146592.96,04-21-2026,Line 2 – 4 Seasons Oil 5W30,14.0,0.0,1.0,127196.16
4 Seasons Oil ATF Back Label,LABEL-61111-B,label,42728.64,1-1-2026,Line 2 – 4 Seasons Oil ATF,14.0,0.0,1.0,127196.16
4 Seasons Oil ATF Front Label,LABEL-61111-F,label,42728.64,1-1-2026,Line 2 – 4 Seasons Oil ATF,14.0,0.0,1.0,127196.16
4 Seasons Oil Box,BOX-4SOIL,box,37726.0,1-1-2026,Line 2 – 4 Seasons Oil 5W20,14.0,0.0,1.0,20384.0
4-1 Box,BOX-PS,box,0.0,1-1-2026,Line 3 – Pool Shock,14.0,0.0,1.0,74289.59999999999
5 Gal Bucket (White),TBD-5GAL-WHT,bucket,720.0,06-30-2026,Added from confirmed 06/30/2026 inventory baseline,0.0,0.0,1.0,0.0
