Timestamp,BusinessDate,Material,MaterialCode,DeltaQty,UOM,Reference,Notes
2026-04-23 09:23:38,04-22-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD458-FSMO52-26112,Line 2 – 4 Seasons Oil 5W20
2026-04-23 09:25:46,04-22-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD459-FSMO14-26112,Line 2 – 4 Seasons Oil 10W40
2026-04-23 09:35:04,04-22-2026,Raw Ethylene Glycol,EG-RAW,-2387.88,Gal,PROD460-FSAF50-26112,Line 1 – 4 Seasons Antifreeze
2026-04-23 15:11:11,04-22-2026,Def Bulk,GEF030,-602.9999999999999,gal,PROD461-ATABD2-26112,Line 5 – All Blu DEF 2.5 Gal
2026-04-23 15:17:18,04-22-2026,Propylene Glycol,PG-BULK,-4698.374999999999,gal,PROD462-RAWPGTOTE-26112,Line 4 – Tote PG
2026-04-24 14:33:05,04-23-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD463-FSMO53-26113,Line 2 – 4 Seasons Oil 5W30
2026-04-24 14:33:56,04-23-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD464-FSMO13-26113,Line 2 – 4 Seasons Oil 10W30
2026-04-24 14:34:16,04-23-2026,Raw Ethylene Glycol,EG-RAW,-542.6999999999999,Gal,PROD465-FSAF50-26113,Line 1 – 4 Seasons Antifreeze
2026-04-24 14:35:18,04-23-2026,Raw Ethylene Glycol,EG-RAW,-1193.9399999999998,Gal,PROD466-ATGP50-26113,Line 1 – Green Power 50
2026-04-24 14:40:05,04-23-2026,DEF Bulk,GEF030,-220.22,gal,PROD469-ATAB55-26113,Line 4 – Drum DEF
2026-04-24 14:41:38,04-23-2026,Base Oil,BASE-150,-55.05499999999999,gal,PROD470-TBD-26113,Line 4 – Drum Oil 5W30
2026-04-24 14:41:52,04-23-2026,Base Oil,BASE-150,-55.05499999999999,gal,PROD471-TBD-26113,Line 4 – Drum Oil 5W20
2026-04-27 12:45:15,04-24-2026,Base Oil,BASE-150,-823.0949999999999,Gal,PROD472-FSMO53-26114,Line 2 – 4 Seasons Oil 5W30
2026-04-27 12:45:32,04-24-2026,Methanol,BULK-MET,-207.67319999999995,Gal,PROD473-ATWWPX-26114,Line 3 – PolarX W/Wash -20
2026-04-27 12:48:49,04-25-2026,mETHANOL,BULK-MET,-648.0,gal,PROD474-ATWW55-26115,Line 4 – Drum W/Wash -20
2026-05-01 15:24:16,04-28-2026,Methanol,BULK-MET,-969.1415999999998,Gal,PROD479-ATWWPX-26118,Line 3 – PolarX W/Wash -20
2026-05-01 15:26:10,04-28-2026,Raw Ethylene Glycol,EG-RAW,5000.86,Gal,PROD480-ATGP50-26118,Line 1 – Green Power 50
2026-05-01 15:29:53,04-29-2026,Methanol,BULK-MET,-1107.5903999999998,Gal,PROD482-ATWWPX-26119,Line 3 – PolarX W/Wash -20
2026-05-01 15:30:33,04-29-2026,Raw Ethylene Glycol,EG-RAW,-2713.4999999999995,Gal,PROD483-ATGP50-26119,Line 1 – Green Power 50
2026-05-01 15:31:09,04-30-2026,Methanol,BULK-MET,-899.9171999999999,Gal,PROD484-ATWWPX-26120,Line 3 – PolarX W/Wash -20
2026-05-01 15:31:20,04-30-2026,Raw Ethylene Glycol,EG-RAW,-108.54,Gal,PROD485-ATGP50-26120,Line 1 – Green Power 50
2026-05-17 21:09:44,05-01-2026,Methanol,BULK-MET,-1038.366,Gal,PROD487-ATWWPX-26121,Line 3 – PolarX W/Wash -20
2026-05-17 21:10:39,05-04-2026,Methanol,BULK-MET,-1730.61,Gal,PROD489-ATWWPX-26124,Line 3 – PolarX W/Wash -20
2026-05-17 21:11:28,05-04-2026,Charcoal Lighter Fluid,CHAR-GAL,-145.44,gal,PROD491-CLF-QT-26124,Line 6 – Quick Lite
2026-05-17 21:13:52,05-05-2026,Charcoal Lighter Fluid,CHAR-GAL,-654.48,gal,PROD492-CLF-QT-26125,Line 6 – Quick Lite
2026-05-17 21:25:00,05-06-2026,Charcoal Lighter Fluid,CHAR-GAL,-654.48,gal,PROD496-CLF-QT-26126,Line 6 – Quick Lite
2026-05-17 21:25:16,05-06-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD497-FSMO52-26126,Line 2 – 4 Seasons Oil 5W20
2026-05-17 21:28:33,05-07-2026,Base Oil,BASE-150,-823.0949999999999,Gal,PROD498-FSMO14-26127,Line 2 – 4 Seasons Oil 10W40
2026-05-17 21:29:02,05-07-2026,Charcoal Lighter Fluid,CHAR-GAL,-872.64,gal,PROD499-CLF-QT-26127,Line 6 – Quick Lite
2026-05-17 21:30:17,05-08-2026,Charcoal Lighter Fluid,CHAR-GAL,-654.48,gal,PROD501-CLF-QT-26128,Line 6 – Quick Lite
2026-05-17 21:30:32,05-08-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD502-FSMOTF-26128,Line 2 – 4 Seasons Oil ATF
2026-05-17 21:31:04,05-08-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD503-FSMO52-26128,Line 2 – 4 Seasons Oil 5W20
2026-05-17 21:32:01,05-09-2026,Charcoal Lighter Fluid,CHAR-GAL,-654.48,gal,PROD504-CLF-QT-26129,Line 6 – Quick Lite
2026-05-17 21:32:49,05-11-2026,Charcoal Lighter Fluid,CHAR-GAL,-218.16,gal,PROD505-CLF-QT-26131,Line 6 – Quick Lite
2026-05-17 21:33:10,05-11-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD506-FSMO13-26131,Line 2 – 4 Seasons Oil 10W30
2026-05-17 21:33:21,05-11-2026,Base Oil,BASE-150,-823.0949999999999,Gal,PROD507-FSMO53-26131,Line 2 – 4 Seasons Oil 5W30
2026-05-17 21:34:36,05-11-2026,Raw Ethylene Glycol,EG-RAW,-1193.9399999999998,Gal,PROD508-FSAF50-26131,Line 1 – 4 Seasons Antifreeze
2026-05-18 22:40:45,05-12-2026,Raw Ethylene Glycol,EG-RAW,-651.2399999999999,Gal,PROD509-FSAF50-26132,Line 1 – 4 Seasons Antifreeze
2026-05-18 22:41:48,05-12-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD511-FSMO52-26132,Line 2 – 4 Seasons Oil 5W20
2026-05-18 22:42:33,05-12-2026,Charcoal Lighter Fluid,CHAR-GAL,-872.64,gal,PROD512-CLF-QT-26132,Line 6 – Quick Lite
2026-05-18 22:43:43,05-13-2026,Charcoal Lighter Fluid,CHAR-GAL,-872.64,gal,PROD514-CLF-QT-26133,Line 6 – Quick Lite
2026-05-18 22:45:00,05-14-2026,Charcoal Lighter Fluid,CHAR-GAL,-436.32,gal,PROD516-CLF-QT-26134,Line 6 – Quick Lite
2026-05-18 22:45:23,05-14-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD517-FSMO53-26134,Line 2 – 4 Seasons Oil 5W30
2026-05-18 22:50:42,05-15-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD519-FSMO13-26135,Line 2 – 4 Seasons Oil 10W30
2026-05-18 22:50:52,05-15-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD520-FSMO52-26135,Line 2 – 4 Seasons Oil 5W20
2026-05-28 22:58:13,05-18-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD522-FSMO14-26138,Line 2 – 4 Seasons Oil 10W40
2026-05-28 22:58:22,05-18-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD523-FSMO52-26138,Line 2 – 4 Seasons Oil 5W20
2026-05-28 22:58:33,05-18-2026,Base Oil,BASE-150,-78.38999999999999,Gal,PROD524-FSMO13-26138,Line 2 – 4 Seasons Oil 10W30
2026-05-28 22:58:55,05-18-2026,Base Oil,BASE-150,-78.38999999999999,Gal,PROD525-FSMO52-26138,Line 2 – 4 Seasons Oil 5W20
2026-05-28 22:59:08,05-18-2026,Base Oil,BASE-150,-78.38999999999999,Gal,PROD526-FSMO14-26138,Line 2 – 4 Seasons Oil 10W40
2026-05-28 22:59:17,05-18-2026,Base Oil,BASE-150,-156.77999999999997,Gal,PROD527-FSMO53-26138,Line 2 – 4 Seasons Oil 5W30
2026-05-28 23:00:53,05-19-2026,Base Oil,BASE-150,-1371.8249999999998,Gal,PROD530-FSMOTF-26139,Line 2 – 4 Seasons Oil ATF
2026-06-01 08:17:14,05-20-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD534-FSMO13-26140,Line 2 – 4 Seasons Oil 10W30
2026-06-01 08:17:23,05-20-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD535-FSMO52-26140,Line 2 – 4 Seasons Oil 5W20
2026-06-01 08:17:31,05-20-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD536-FSMO53-26140,Line 2 – 4 Seasons Oil 5W30
2026-06-01 08:21:22,05-21-2026,DEF Bulk,GEF030,-165.165,gal,PROD541-ATAB55-26141,Line 4 – Drum DEF
2026-06-01 08:24:37,05-22-2026,Charcoal Lighter Fluid,CHAR-GAL,-654.48,gal,PROD546-CLF-QT-26142,Line 6 – Quick Lite
2026-06-01 08:25:10,05-23-2026,Charcoal Lighter Fluid,CHAR-GAL,-436.32,gal,PROD547-CLF-QT-26143,Line 6 – Quick Lite
2026-06-01 08:31:01,05-26-2026,Charcoal Lighter Fluid,CHAR-GAL,-872.64,gal,PROD549-CLF-QT-26146,Line 6 – Quick Lite
2026-06-01 08:32:34,05-27-2026,Charcoal Lighter Fluid,CHAR-GAL,-654.48,gal,PROD553-CLF-QT-26147,Line 6 – Quick Lite
2026-06-01 08:41:41,05-28-2026,Charcoal Lighter Fluid,CHAR-GAL,-872.64,gal,PROD555-CLF-QT-26148,Line 6 – Quick Lite
2026-06-01 08:44:10,05-28-2026,Methanol,BULK-MET,-144.0,gal,PROD558-ATWW55-26148,Line 4 – Drum W/Wash -20
2026-06-01 08:45:05,05-28-2026,Raw Ethylene Glycol,EG-RAW,-868.3199999999999,Gal,PROD560-ATGP50-26148,Line 1 – Green Power 50
2026-06-01 08:47:48,05-29-2026,Charcoal Lighter Fluid,CHAR-GAL,-654.48,gal,PROD561-CLF-QT-26149,Line 6 – Quick Lite
2026-06-01 08:48:20,05-29-2026,Raw Ethylene Glycol,EG-RAW,-868.3199999999999,Gal,PROD563-FSAF50-26149,Line 1 – 4 Seasons Antifreeze
2026-06-01 08:48:30,05-29-2026,Raw Ethylene Glycol,EG-RAW,-542.6999999999999,Gal,PROD564-ATGP50-26149,Line 1 – Green Power 50
2026-06-01 08:49:02,05-30-2026,Charcoal Lighter Fluid,CHAR-GAL,-436.32,gal,PROD565-CLF-QT-26150,Line 6 – Quick Lite
